order_id,customer_id,customer_type_DEBUG_ONLY,account_age_days,total_past_orders,historical_return_rate,historical_return_value_rate,days_since_last_return,order_value,item_category,quantity,is_multi_variant_order,discount_pct_applied,shipping_billing_mismatch,is_new_shipping_address,address_reuse_across_accounts,payment_method_type,is_new_payment_method,payment_method_reuse_across_accounts,orders_in_last_24h,orders_in_last_24h_same_address,is_abusive_return
ORD-83F8BF7B,952e1446,normal,1041,0,0.0,0.0,-1,469.09,apparel,3,1,0,1,0,0,prepaid,0,0,0,0,1
ORD-EB96C6E5,d4597cc4,normal,678,5,0.0013038345319555885,0.0,177,1584.32,electronics,1,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-11DB618A,22caf4a3,normal,186,7,0.08774331156336418,0.21159711970199307,326,1973.14,beauty,1,0,0,0,1,0,prepaid,1,0,0,0,0
ORD-1FA366E3,5a721ee8,normal,311,3,0.06088723460519982,0.034928485371813554,280,9211.27,apparel,4,0,20,0,0,0,COD,0,0,0,0,0
ORD-0498834D,d568c34b,normal,1334,2,0.10571826314763365,0.16820399959860652,166,685.04,apparel,3,0,0,0,1,0,COD,0,0,0,0,0
ORD-249CB5C4,0e80db5b,normal,1277,2,0.014977871699371887,0.0,1,3540.56,beauty,4,0,0,1,0,0,prepaid,0,0,0,0,0
ORD-75955B85,4fe0fac3,bracketer,386,5,0.20385732947827045,0.20578150920363827,73,927.06,apparel,8,1,0,0,0,0,prepaid,0,0,0,0,0
ORD-DB37D105,d591689e,normal,391,3,0.18322646394198194,0.1393624846952364,67,3785.04,apparel,3,0,10,1,0,0,prepaid,0,0,0,0,0
ORD-8FD0B71B,9889d475,normal,516,4,0.16217590685153677,0.14010617636392905,63,771.75,apparel,2,0,0,0,0,0,prepaid,0,0,0,0,0
ORD-A68DC636,aecd6cbc,normal,1163,0,0.0,0.0,-1,2066.71,electronics,4,0,0,0,0,0,COD,0,0,0,0,0
ORD-4DC079E1,0ae6a69c,normal,1227,4,0.08647763830215918,0.1282534058887163,353,14135.19,apparel,1,0,0,1,0,0,prepaid,0,0,0,0,1
